순위,기업이름,분야,평점,연봉
0,에스큐제약 ,유통/무역/운송,5,3030
1,세이지리서치 ,IT/웹/통신,4.9,0
2,팀엘리시움 ,IT/웹/통신,4.8,2298
3,나라스페이스테크놀로지 ,제조/화학,4.7,4895
4,월급쟁이부자들 ,IT/웹/통신,4.7,5109
5,골라라 ,IT/웹/통신,4.6,3195
6,이상한마케팅 ,미디어/디자인,4.6,3858
7,올스테이 ,서비스업,4.6,4382
8,(유)밸러스 ,기관/협회,4.5,4214
9,페이스북코리아(유) ,IT/웹/통신,4.5,8682
10,(사)금융보안원 ,기관/협회,4.5,6443
11,헥톤프로젝트 ,IT/웹/통신,4.5,4723
12,하룹 ,미디어/디자인,4.5,2588
13,애터미 ,유통/무역/운송,4.4,5019
14,익스피디아코리아 ,서비스업,4.4,6377
15,핫셀러 ,IT/웹/통신,4.4,4675
16,경동도시가스 ,제조/화학,4.4,4585
17,라이엇게임즈코리아 ,IT/웹/통신,4.4,5969
18,케이에스에스해운 ,유통/무역/운송,4.4,4525
19,구글코리아(유) ,IT/웹/통신,4.3,7028
20,네이버파이낸셜 ,은행/금융업,4.3,5388
21,네이버웹툰 ,IT/웹/통신,4.3,5198
22,브라운백 ,제조/화학,4.3,3049
23,넥슨게임즈 ,IT/웹/통신,4.3,4792
24,비츠로밀텍 ,제조/화학,4.3,3918
25,스캐터랩 ,IT/웹/통신,4.3,4768
26,한국중부발전 ,제조/화학,4.3,4500
27,로버스트자산운용 ,은행/금융업,4.3,4351
28,맥킨지인코포레이티드한국지점 ,기관/협회,4.3,9023
29,한국남동발전 ,제조/화학,4.3,5043
30,소프트스퀘어드 ,IT/웹/통신,4.3,3952
31,한국증권금융 ,은행/금융업,4.3,5602
32,센드버드코리아 ,IT/웹/통신,4.3,6263
33,매스웍스코리아(유) ,IT/웹/통신,4.3,5986
34,트레드링스 ,IT/웹/통신,4.3,0
35,두나무 ,IT/웹/통신,4.3,6188
36,(유)한국어도비시스템즈 ,기관/협회,4.2,8246
37,데일리펀딩 ,은행/금융업,4.2,4080
38,페이타랩 ,IT/웹/통신,4.2,3435
39,큐픽스 ,IT/웹/통신,4.3,5784
40,한국가스공사 ,제조/화학,4.2,4898
41,삼성글로벌리서치 ,기관/협회,4.2,6605
42,에이비일팔공 ,IT/웹/통신,4.2,4430
43,에스케이종합화학 ,제조/화학,4.2,5032
44,인천도시공사 ,건설업,4.2,3832
45,한국노동연구원 ,기관/협회,4.2,3665
46,한국예탁결제원 ,은행/금융업,4.2,5962
47,삼성인력개발원 ,건설업,4.2,2834
48,팀블라인드 ,IT/웹/통신,4.2,4549
49,노리코리아 ,IT/웹/통신,4.2,4518
50,에스피에이치 ,IT/웹/통신,4.2,3589
51,서울시보건환경연구원 ,기관/협회,4.2,2143
52,벡터코리아아이티 ,IT/웹/통신,4.2,4834
53,유니메오 ,IT/웹/통신,4.2,4833
54,버핏서울 ,서비스업,4.2,4241
55,워터스코리아(유) ,유통/무역/운송,4.2,5026
56,한국천문연구원 ,기관/협회,4.2,4159
57,부산교통공사 ,유통/무역/운송,4.2,4073
58,가인지캠퍼스 ,교육업,4.1,3382
59,마스턴투자운용 ,은행/금융업,4.1,6329
60,베인앤드컴퍼니코리아인크 ,기관/협회,4.1,8319
61,스켈터랩스 ,IT/웹/통신,4.1,5629
62,와탭랩스 ,IT/웹/통신,4.1,4201
63,네이버제트 ,IT/웹/통신,4.1,5350
64,스타베타 ,은행/금융업,4.1,4875
65,지디씨컨설팅 ,기관/협회,4.1,4828
66,유니티테크놀로지스코리아(유) ,IT/웹/통신,4.1,6040
67,체험 ,미디어/디자인,4.1,2425
68,한국퀄컴 ,서비스업,4.1,7786
69,(재)한국원자력연구원 ,기관/협회,4.1,5698
70,구 카카오 ,IT/웹/통신,4.1,3843
71,서울축산업협동조합 ,제조/화학,4.1,5063
72,인천국제공항공사 ,유통/무역/운송,4.1,4707
73,한국동서발전 ,제조/화학,4.1,5069
74,한국무역보험공사 ,은행/금융업,4.1,4874
75,한국전자통신연구원 ,기관/협회,4.1,5028
76,에이스프로젝트 ,IT/웹/통신,4.1,3423
77,주한미국대사관 ,기관/협회,4.1,5149
78,코원에너지서비스 ,제조/화학,4.1,4526
79,한국해양진흥공사 ,은행/금융업,4.1,5213
80,크리마 ,IT/웹/통신,4.1,4048
81,행복쇼핑 ,IT/웹/통신,4.1,3372
82,(사)금융결제원 ,은행/금융업,4.1,5528
83,네이버클라우드 ,IT/웹/통신,4.1,5875
84,스노우 ,IT/웹/통신,4.1,4972
85,지쿱 ,유통/무역/운송,4.1,4562
86,한국거래소 ,은행/금융업,4.1,5434
87,에스에이피랩스코리아 ,IT/웹/통신,4.1,7050
88,한국서부발전 ,제조/화학,4.1,4730
89,한국은행 ,은행/금융업,4.1,5241
90,한국주택금융공사 ,은행/금융업,4.1,4798
91,(재)한국지질자원연구원 ,기관/협회,4.1,5887
92,데이블 ,IT/웹/통신,4.1,4981
93,베이글코드 ,IT/웹/통신,4.1,4340
94,기술보증기금 ,은행/금융업,4.1,5506
95,더보스톤컨설팅그룹인터내셔날인크 ,기관/협회,4.1,8833
96,태그바이컴퍼니 ,IT/웹/통신,4.1,3420
97,슈퍼크리에이티브 ,IT/웹/통신,4.1,4207
98,한국남부발전 ,제조/화학,4.1,4760
99,이엔미디어 ,미디어/디자인,4,3007
100,플레이스5 ,IT/웹/통신,4,4569
101,서울도시가스 ,제조/화학,4,4178
102,서울보광초등학교 ,교육업,4,4018
103,시만텍코리아 ,IT/웹/통신,4,6355
104,에이비지노쓰아시아 ,서비스업,4,4673
105,한국수력원자력 ,제조/화학,4,5527
106,(유)프리디소프트 ,IT/웹/통신,4,4204
107,피플펀드컴퍼니 ,은행/금융업,4,5181
108,SK텔레콤 ,IT/웹/통신,4,6678
109,브이디컴퍼니 ,유통/무역/운송,4,3771
110,코리안리재보험 ,은행/금융업,4,8032
111,한국선급 ,제조/화학,4,5177
112,에브리데이해피 ,제조/화학,4,2789
113,예금보험공사 ,은행/금융업,4,5686
114,한국표준과학연구원 ,기관/협회,4,5745
115,루닛 ,의료/제약/복지,4,5280
116,버즈빌 ,IT/웹/통신,4,4722
117,채널코퍼레이션 ,IT/웹/통신,4,5620
118,기아 ,제조/화학,4,5685
119,신용보증기금 ,은행/금융업,4,5307
120,에스케이이노베이션 ,제조/화학,4,5751
121,그립컴퍼니 ,IT/웹/통신,4,4278
122,더라이징스타 ,기관/협회,4,2862
123,스탠다드에너지 ,제조/화학,4,2838
124,이넵스 ,건설업,4,4069
125,지오그레이트 ,IT/웹/통신,4,3053
126,클립소프트 ,IT/웹/통신,4,3663
127,퍼블리시 ,IT/웹/통신,4,3875
128,한국전력기술 ,제조/화학,4,4457
129,한국지방재정공제회 ,기관/협회,4,4754
130,현대건설기술교육원 ,건설업,4,5258
131,한국가스안전공사 ,제조/화학,4,4301
132,한국지역난방공사 ,제조/화학,4,4562
133,네이버 ,IT/웹/통신,4,5937
134,한국무역협회(사) ,기관/협회,4,6020
135,한국산업기술기획평가원 ,기관/협회,4,4399
136,한국산업은행 ,은행/금융업,4,5465
137,한국항공우주연구원 ,기관/협회,4,4609
138,한전원자력연료 ,제조/화학,4,4161
139,(재)한국농촌경제연구원 ,기관/협회,4,4736
140,대륜이엔에스 ,제조/화학,4,5223
141,이노레드 ,미디어/디자인,4,3981
142,한국과학기술정보연구원 ,기관/협회,4,5202
143,디벨록 ,IT/웹/통신,4,3959
144,알비트 ,IT/웹/통신,4,3249
145,보험개발원(사) ,은행/금융업,4,6577
146,사회복지법인한국컴패션 ,의료/제약/복지,4,3291
147,우리에프아이에스 ,IT/웹/통신,4,6818
148,피앤피시큐어 ,IT/웹/통신,4,4338
149,피엑스디 ,미디어/디자인,4,3700
150,현대하이스코 ,제조/화학,4,5885
151,로플랫 ,IT/웹/통신,4,5178
152,아이브릭스 ,IT/웹/통신,4,4150
153,킨다그로스 ,미디어/디자인,4,3011
154,경기주택도시공사 ,건설업,4,3565
155,위시켓 ,IT/웹/통신,4,3294
156,제이앤케이사이언스 ,제조/화학,4,3250
157,지에스에너지 ,기관/협회,4,5895
158,코리아신탁 ,은행/금융업,4,4874
159,한국철도기술연구원 ,기관/협회,4,4527
160,케이티앤지 ,제조/화학,3.9,5457
161,아마존웹서비스 ,IT/웹/통신,3.9,7793
162,퀄컴씨디엠에이테크날러지코리아(유) ,유통/무역/운송,3.9,8014
163,라바웨이브 ,IT/웹/통신,3.9,3695
164,살다 ,IT/웹/통신,3.9,4244
165,이씨에스텔레콤 ,IT/웹/통신,3.9,7947
166,서울올림픽기념국민체육진흥공단 ,기관/협회,3.9,4130
167,한국에너지기술연구원 ,기관/협회,3.9,4926
168,한국전력공사 ,제조/화학,3.9,4176
169,(재)한국전기연구원 ,제조/화학,3.9,5424
170,스냅컴퍼니 ,IT/웹/통신,3.9,2624
171,씨와이솔루션즈 ,은행/금융업,3.9,2977
172,이안시스템 ,IT/웹/통신,3.9,0
173,경남에너지 ,제조/화학,3.9,4124
174,국방과학연구소 ,기관/협회,3.9,5076
175,한국경제경영연구원 ,기관/협회,3.9,2551
176,한국농수산식품유통공사 ,기관/협회,3.9,3559
177,(사)대한안전교육협회 ,기관/협회,3.9,2591
178,셀메이트 ,IT/웹/통신,3.9,3253
179,아이도트 ,IT/웹/통신,3.9,4244
180,자연물질연구소 ,제조/화학,3.9,4649
181,국민연금공단 ,은행/금융업,3.9,3739
182,넷스루 ,IT/웹/통신,3.9,3602
183,버드뷰 ,IT/웹/통신,3.9,4748
184,야후코리아 ,IT/웹/통신,3.9,8960
185,워로브라더스 ,IT/웹/통신,3.9,3190
186,인코칭 ,교육업,3.9,3981
187,트립비토즈 ,서비스업,3.9,3757
188,하우빌드 ,건설업,3.9,4489
189,남해화학 ,제조/화학,3.9,4835
190,디에이전시 ,IT/웹/통신,3.9,2243
191,서울보증보험 ,은행/금융업,3.9,5802
192,에스에이피코리아 ,IT/웹/통신,3.9,6836
193,한국센서연구소 ,서비스업,3.9,3064
194,스트라드비젼 ,IT/웹/통신,3.9,5609
195,국민건강보험공단 ,은행/금융업,3.9,3553
196,한국마사회 ,서비스업,3.9,4591
197,당근마켓 ,IT/웹/통신,3.9,5434
198,쇼엠 ,IT/웹/통신,3.9,2834
199,코그 ,IT/웹/통신,3.9,3235
200,금융감독원 ,은행/금융업,3.9,5543
201,반디에스앤씨 ,IT/웹/통신,3.9,3682
202,사립학교교직원연금공단 ,은행/금융업,3.9,4077
203,앱리프트아시아퍼시픽 ,IT/웹/통신,3.9,3538
204,캠프모바일 ,IT/웹/통신,3.9,6074
205,케이엘에이텐코코리아 ,제조/화학,3.9,5454
206,한국다우케미칼 ,제조/화학,3.9,5779
207,한국코카콜라(유) ,제조/화학,3.9,5086
208,쎄트렉아이 ,제조/화학,3.9,5800
209,한국인삼공사 ,제조/화학,3.9,6216
210,건설공제조합 ,은행/금융업,3.9,6297
211,르네사스일렉트로닉스한국 ,제조/화학,3.9,4849
212,선거관리위원회 ,기관/협회,3.9,3779
213,통계청 ,기관/협회,3.9,3288
214,아이비젼웍스 ,제조/화학,3.9,3824
215,플랜잇파트너스 ,IT/웹/통신,3.9,4138
216,노키아티엠씨 ,제조/화학,3.9,3796
217,에너지경제연구원(재) ,기관/협회,3.9,4328
218,에스케이에너지 ,제조/화학,3.9,5531
219,대학내일 ,미디어/디자인,3.9,4544
220,덱스터크레마 ,미디어/디자인,3.9,3680
221,지에이치씨지 ,제조/화학,3.9,3196
222,부산도시가스 ,제조/화학,3.9,4962
223,이지스자산운용 ,은행/금융업,3.9,6559
224,지에스칼텍스 ,제조/화학,3.9,5749
225,지에스칼텍스여수공장 ,제조/화학,3.9,4931
226,한국다이이찌산쿄 ,의료/제약/복지,3.9,4983
227,한화디펜스 ,제조/화학,3.9,5483
228,실크로드시앤티 ,제조/화학,3.8,3962
229,대전도시공사 ,건설업,3.8,3651
230,로크웰오토메이션코리아 ,제조/화학,3.8,6327
231,서울시설공단 ,기관/협회,3.8,3827
232,서울특별시도시철도공사 ,유통/무역/운송,3.8,4041
233,에스케이이엔에스 ,제조/화학,3.8,5883
234,자경케미칼 ,서비스업,3.8,3181
235,한국철강 ,제조/화학,3.8,5546
236,한전KPS ,건설업,3.8,3953
237,현대자동차 ,제조/화학,3.8,5745
238,무른모 ,IT/웹/통신,3.8,2908
239,카카오 ,IT/웹/통신,3.8,5512
240,코어라인소프트 ,IT/웹/통신,3.8,4783
241,경기도보건환경연구원 ,기관/협회,3.8,3378
242,생명보험협회(사) ,기관/협회,3.8,7021
243,글로벌엠아이지 ,미디어/디자인,3.8,3268
244,버킷플레이스 ,IT/웹/통신,3.8,4831
245,슈퍼브에이아이 ,IT/웹/통신,3.8,3931
246,아이비케이캐피탈 ,은행/금융업,3.8,7622
247,예스코 ,제조/화학,3.8,5450
248,오픈서베이 ,IT/웹/통신,3.8,4812
249,카카오페이 ,은행/금융업,3.8,5756
250,크몽 ,IT/웹/통신,3.8,4213
251,중소기업은행 ,은행/금융업,3.8,5633
252,케이디비캐피탈 ,은행/금융업,3.8,6366
253,한국기업평가 ,서비스업,3.8,6958
254,스매치코퍼레이션 ,IT/웹/통신,3.8,3422
255,제이디자인웍스 ,미디어/디자인,3.8,3013
256,쿠팡페이 ,IT/웹/통신,3.8,5274
257,린데코리아 ,제조/화학,3.8,5025
258,서울메트로 ,유통/무역/운송,3.8,3277
259,서울특별시강남구도시관리공단 ,기관/협회,3.8,3148
260,세미크론 ,제조/화학,3.8,3877
261,알테어엔지니어링 ,IT/웹/통신,3.8,4404
262,에이에스엠엘코리아 ,제조/화학,3.8,5411
263,중앙대학교 대학원 ,교육업,3.8,2456
264,한국조세재정연구원 ,기관/협회,3.8,4369
265,한국지케이엔 ,제조/화학,3.8,4589
266,신용협동조합중앙회 ,은행/금융업,3.8,4695
267,주한미군 ,기관/협회,3.8,3989
268,코리아후드써비스 ,제조/화학,3.8,4561
269,콘티넨탈오토모티브코리아 ,유통/무역/운송,3.8,6863
270,한국관광공사 ,기관/협회,3.8,3864
271,한국교육학술정보원 ,기관/협회,3.8,4482
272,한국도로공사 ,건설업,3.8,4172
273,한국보건사회연구원 ,기관/협회,3.8,3284
274,한국아이티진흥 ,IT/웹/통신,3.8,3779
275,비비드플래닛 ,서비스업,3.8,2508
276,에이티웍스 ,IT/웹/통신,3.8,2830
277,크레비스파트너스 ,IT/웹/통신,3.8,3516
278,램리서치코리아(유) ,제조/화학,3.8,4713
279,삼성전자 ,제조/화학,3.8,5462
280,서울신용보증재단 ,은행/금융업,3.8,4619
281,에어비앤비코리아(유) ,유통/무역/운송,3.8,4109
282,인천항만공사 ,건설업,3.8,4478
283,테이블링 ,IT/웹/통신,3.8,3577
284,텍사스인스트루먼트코리아 ,유통/무역/운송,3.8,6119
285,피알브릿지 ,미디어/디자인,3.8,3454
286,한국교직원공제회 ,은행/금융업,3.8,5208
287,한국담배인삼공사 ,제조/화학,3.8,3704
288,청춘이만든다 ,미디어/디자인,3.8,2488
289,한국토지신탁 ,은행/금융업,3.8,6845
290,금호미쓰이화학 ,제조/화학,3.8,5019
291,노을 ,의료/제약/복지,3.8,4754
292,더와이즈치과병원 ,의료/제약/복지,3.8,2791
293,씨유 (매장) ,유통/무역/운송,3.8,2550
294,코닝정밀소재 ,유통/무역/운송,3.8,5063
295,플루오린코리아 ,제조/화학,3.8,4541
296,한국수출입은행 ,은행/금융업,3.8,4846
297,한국엠에스디 ,유통/무역/운송,3.8,5447
298,한국자산관리공사 ,은행/금융업,3.8,4623
299,자버 ,IT/웹/통신,3.8,2633
300,강남대성학원 ,교육업,3.8,3350
301,교보증권 ,은행/금융업,3.8,5567
302,도쿄일렉트론코리아 ,제조/화학,3.8,4390
303,삼성전자로지텍 ,유통/무역/운송,3.8,5006
304,송원산업 ,제조/화학,3.8,5380
305,수도권매립지관리공사 ,제조/화학,3.8,4060
306,아모레퍼시픽그룹 ,기관/협회,3.8,6060
307,인천교통공사 ,유통/무역/운송,3.8,3576
308,인텔코리아 ,유통/무역/운송,3.8,7726
309,네모파트너즈피오씨 ,기관/협회,3.8,4417
310,넥슨코리아 ,IT/웹/통신,3.8,5168
311,스트리미 ,은행/금융업,3.8,4577
312,엑스티 ,IT/웹/통신,3.8,3323
313,유니코써치 ,서비스업,3.8,3110
314,광주광역시도시철도공사 ,유통/무역/운송,3.8,3329
315,보성과학 ,유통/무역/운송,3.8,3740
316,삼성에버랜드 ,유통/무역/운송,3.8,3550
317,아데카코리아 ,제조/화학,3.8,4416
318,양키캔들리테일 ,유통/무역/운송,3.8,2863
319,한국과학기술연구원 ,기관/협회,3.8,5067
320,한국산업단지공단 ,건설업,3.8,4103
321,한국화학연구원 ,기관/협회,3.8,4700
322,글락소스미스클라인 ,의료/제약/복지,3.7,7831
323,스토어링크 ,미디어/디자인,3.7,3364
324,우아한형제들 ,IT/웹/통신,3.7,5200
325,라인플러스 ,IT/웹/통신,3.7,5704
326,마이리얼트립 ,IT/웹/통신,3.7,4477
327,코이웨어 ,IT/웹/통신,3.7,4032
328,한국닛산 ,유통/무역/운송,3.7,5036
329,볼드코퍼레이션 ,IT/웹/통신,3.7,3670
330,브이씨에이테크놀로지 ,IT/웹/통신,3.7,4167
331,비즈엠코리아웍스 ,교육업,3.7,2787
332,코그넥스코리아 ,IT/웹/통신,3.7,5538
333,농협사료 ,제조/화학,3.7,4649
334,메리케이코리아(유) ,유통/무역/운송,3.7,4946
335,올릿 ,유통/무역/운송,3.7,3358
336,한국교육시설안전원 ,기관/협회,3.7,5362
337,한국산업기술시험원 ,기관/협회,3.7,4898
338,(사)손해보험협회 ,기관/협회,3.7,5005
339,기원테크 ,IT/웹/통신,3.7,3412
340,생활연구소 ,IT/웹/통신,3.7,3936
341,오피지지 ,IT/웹/통신,3.7,3817
342,이랜서 ,IT/웹/통신,3.7,3502
343,핏투게더 ,기관/협회,3.7,5111
344,국민은행 ,은행/금융업,3.7,6042
345,농협손해보험 ,은행/금융업,3.7,6242
346,동대문구청 ,건설업,3.7,3496
347,부경대학교 ,교육업,3.7,2777
348,사노피아벤티스코리아 ,유통/무역/운송,3.7,6207
349,코스포영남파워 ,제조/화학,3.7,4567
350,티비더블유에이코리아 ,미디어/디자인,3.7,4843
351,한국고용정보원 ,기관/협회,3.7,4059
352,한국토지주택공사 ,건설업,3.7,3546
353,클루커스 ,IT/웹/통신,3.7,4900
354,동화약품 ,의료/제약/복지,3.7,5006
355,한국생산기술연구원 ,기관/협회,3.7,4550
356,한국소비자원 ,기관/협회,3.7,3941
357,(사)희망조약돌 ,기관/협회,3.7,3278
358,비스비바 ,유통/무역/운송,3.7,3105
359,스윗코리아 ,IT/웹/통신,3.7,5269
360,에스티엔인포텍 ,IT/웹/통신,3.7,3594
361,오로스테크놀로지 ,제조/화학,3.7,4732
362,우리요 ,IT/웹/통신,3.7,3337
363,원테이커 ,제조/화학,3.7,3990
364,지냄 ,IT/웹/통신,3.7,3446
365,지마켓 ,IT/웹/통신,3.7,5886
366,카카오모빌리티 ,IT/웹/통신,3.7,5851
367,코스콤 ,IT/웹/통신,3.7,7026
368,나이스정보통신 ,IT/웹/통신,3.7,5927
369,대한토지신탁 ,은행/금융업,3.7,6040
370,매그넘빈트 ,IT/웹/통신,3.7,3453
371,맥쿼리증권 ,은행/금융업,3.7,9210
372,미드미넷 ,IT/웹/통신,3.7,3131
373,세시소프트 ,IT/웹/통신,3.7,2653
374,스터디코드네트웍스 ,IT/웹/통신,3.7,2811
375,씨게이트코리아(유) ,제조/화학,3.7,6524
376,잡플래닛 ,IT/웹/통신,3.7,4035
377,파이언넷 ,IT/웹/통신,3.7,4109
378,한국교육과정평가원 ,교육업,3.7,5436
379,한국쉘석유 ,제조/화학,3.7,5113
380,(재)포항산업과학연구원 ,기관/협회,3.7,6390
381,네덱 ,제조/화학,4,4225
382,보쉬렉스로스코리아 ,유통/무역/운송,3.7,4009
383,복합금융컨설팅 ,은행/금융업,3.7,2416
384,정보통신정책연구원 ,기관/협회,3.7,5321
385,테트라팩(유) ,제조/화학,3.7,5810
386,금새인터랙티브 ,미디어/디자인,3.7,2792
387,네오플 ,IT/웹/통신,3.7,4539
388,키친엑스 ,서비스업,3.7,3333
389,국가과학기술인력개발원 ,교육업,3.7,4211
390,농업협동조합중앙회 ,은행/금융업,3.7,6036
391,대외경제정책연구원 ,기관/협회,3.7,4702
392,백광산업 ,제조/화학,3.7,5069
393,세븐레이어스코리아 ,IT/웹/통신,3.7,3176
394,신세계엘앤비 ,유통/무역/운송,3.7,4380
395,제너시스템즈 ,IT/웹/통신,3.7,4278
396,핀다 ,IT/웹/통신,3.7,5765
397,한국건설기술연구원 ,기관/협회,3.7,3758
398,한국광해관리공단 ,기관/협회,3.7,3865
399,한국기계연구원 ,기관/협회,3.7,4914
400,한국릴리(유) ,유통/무역/운송,3.7,6283
401,드라마앤컴퍼니 ,IT/웹/통신,3.7,5091
402,셀디랩 ,제조/화학,3.7,3003
403,지란지교시큐리티 ,IT/웹/통신,3.7,3960
404,컨택틱 ,서비스업,3.7,3548
405,한국로슈 ,의료/제약/복지,3.7,6279
406,경상북도교육청 ,기관/협회,3.7,3651
407,삼성바이오로직스 ,의료/제약/복지,3.7,4562
408,삼성자산운용 ,은행/금융업,3.7,7359
409,엔에이치엔애드 ,미디어/디자인,3.7,3543
410,한국쓰리엠 ,유통/무역/운송,3.7,6528
411,한국항공우주산업 ,제조/화학,3.7,5792
412,한국환경공단 ,기관/협회,3.7,3535
413,나음케어 ,의료/제약/복지,3.7,3989
414,뷰노 ,기관/협회,3.7,5037
415,삼성여행사 ,서비스업,3.7,3108
416,에이아이트릭스 ,IT/웹/통신,3.7,5871
417,이스터씨앤아이 ,미디어/디자인,3.7,3468
418,카카오뱅크 ,은행/금융업,3.7,6516
419,한국해양기상기술 ,IT/웹/통신,3.7,3861
420,건강보험심사평가원 ,기관/협회,3.7,4178
421,나이키스포츠 ,유통/무역/운송,3.7,4017
422,농협은행 ,은행/금융업,3.7,5406
423,듀폰코리아 ,제조/화학,3.7,6095
424,메디스캔의원 ,의료/제약/복지,3.7,3011
425,산업연구원 ,기관/협회,3.7,3900
426,시스포유 ,IT/웹/통신,3.7,2732
427,씨제이 ,기관/협회,3.7,4326
428,아드반테스트코리아 ,제조/화학,3.7,4447
429,아산나눔재단 ,기관/협회,3.7,3892
430,에스케이인천석유화학 ,제조/화학,3.7,5048
431,제너럴바이오 ,제조/화학,3.7,4112
432,케이비국민카드 ,은행/금융업,3.7,6899
433,탠저블플러스 ,기관/협회,3.7,6860
434,한국폴 ,유통/무역/운송,3.7,4849
435,현대해상화재보험 ,은행/금융업,3.7,5771
436,도서출판길벗 ,미디어/디자인,3.7,3756
437,모두싸인 ,IT/웹/통신,3.7,4314
438,모티브인텔리전스 ,미디어/디자인,3.7,3552
439,액션스퀘어 ,IT/웹/통신,3.7,4273
440,에이프릴세븐 ,IT/웹/통신,3.7,5501
441,제일기획 ,미디어/디자인,3.7,5494
442,노보노디스크제약 ,유통/무역/운송,3.7,5831
443,다음커뮤니케이션 ,IT/웹/통신,3.7,4313
444,대구은행 ,은행/금융업,3.7,5725
445,맨텍 ,IT/웹/통신,3.7,4579
446,엠비아이솔루션 ,IT/웹/통신,3.7,4491
447,핀커스코리아 ,서비스업,3.7,2047
448,한국청소년정책연구원 ,기관/협회,3.7,3679
449,엠투아이코퍼레이션 ,제조/화학,3.6,3943
450,우리누리 ,기관/협회,3.6,3076
451,이지엠앤씨 ,미디어/디자인,3.6,2857
452,데브시스터즈 ,IT/웹/통신,3.6,4706
453,도요엔지니어링코리아 ,제조/화학,3.6,5201
454,맥킴 ,서비스업,3.6,1275
455,정보통신산업진흥원 ,기관/협회,3.6,4059
456,중소벤처기업진흥공단 ,기관/협회,3.6,4874
457,케이투코리아 ,제조/화학,3.6,4975
458,한국개발연구원 ,기관/협회,3.6,4599
459,한국공정거래조정원 ,교육업,3.6,4177
460,라이트브레인 ,IT/웹/통신,3.6,3578
461,링크로스 ,미디어/디자인,3.6,2356
462,미라클에셋 ,은행/금융업,3.6,2761
463,이녹스 ,제조/화학,3.6,4221
464,농협유통 ,유통/무역/운송,3.6,4055
465,에이피티씨 ,제조/화학,3.6,3932
466,한국마이크로소프트(유) ,IT/웹/통신,3.6,7608
467,한국애질런트테크놀로지스 ,제조/화학,3.6,5131
468,한화토탈에너지스 ,제조/화학,3.6,5531
469,애드리절트 ,미디어/디자인,3.6,3870
470,유니포스트 ,IT/웹/통신,3.6,3458
471,코이노 ,IT/웹/통신,3.6,3052
472,터크코리아 ,유통/무역/운송,3.6,4098
473,후성 ,제조/화학,3.6,4691
474,농협자산관리회사 ,은행/금융업,3.6,5322
475,에너지엑스 ,IT/웹/통신,3.6,3539
476,에스케이테크엑스 ,IT/웹/통신,3.6,5290
477,엔테크서비스 ,IT/웹/통신,3.6,3755
478,웍스모바일 ,IT/웹/통신,3.6,5023
479,저먼코리아 ,서비스업,3.6,3276
480,토문엔지니어링건축사사무소 ,건설업,3.6,3532
481,한국로버트보쉬 ,제조/화학,3.6,4867
482,그린주의 ,유통/무역/운송,3.6,1980
483,브라이센코리아 ,IT/웹/통신,3.6,3985
484,새움소프트 ,IT/웹/통신,3.6,2681
485,신시웨이 ,IT/웹/통신,3.6,3508
486,알오아이플러스 ,미디어/디자인,3.6,2799
487,코오롱 ,기관/협회,3.6,5455
488,법률사무소디에이 ,기관/협회,3.6,3017
489,삼성의료원 ,의료/제약/복지,3.6,5001
490,어플라이드머티어리얼즈코리아 ,제조/화학,3.6,4980
491,엘지생명과학 ,의료/제약/복지,3.6,5171
492,엠이엠씨코리아 ,제조/화학,3.6,3886
493,일렉트로닉아츠코리아(유) ,IT/웹/통신,3.6,6713
494,한국투자공사 ,은행/금융업,3.6,4860
495,(사)한국산지환경연구회 ,기관/협회,3.6,4708
496,동서 ,제조/화학,3.6,4841
497,얀센백신 ,의료/제약/복지,3.6,5342
498,제이시스 ,IT/웹/통신,4,5772
499,탑앤스카우트 ,서비스업,3.6,2232
500,네이슨리서치그룹 ,기관/협회,3.6,3168
501,사회복지법인월드비전 ,의료/제약/복지,3.6,3498
502,시스코시스템즈코리아 ,유통/무역/운송,3.6,7167
503,아이두젠 ,유통/무역/운송,3.6,2874
504,유브갓픽쳐스(유) ,미디어/디자인,3.6,2641
505,유한책임회사현대오피스 ,유통/무역/운송,3.6,2524
506,의료법인삼성의료재단 삼성서울병원 ,의료/제약/복지,3.6,4874
507,지식시스템 ,IT/웹/통신,3.6,3316
508,타타대우상용차 ,제조/화학,3.6,5905
509,한국과학기술기획평가원 ,기관/협회,3.6,6101
510,강원랜드 ,서비스업,3.6,4235
511,디엔솔루션즈 ,제조/화학,3.6,8300
512,신세계 ,유통/무역/운송,3.6,4891
513,애드니즈컴퍼니 ,IT/웹/통신,3.6,2537
514,에이치시티 ,서비스업,3.6,3583
515,엔라이즈 ,IT/웹/통신,3.6,3840
516,엔씨소프트 ,IT/웹/통신,3.6,5431
517,코람코자산신탁 ,은행/금융업,3.6,5713
518,코아드 ,제조/화학,3.6,4521
519,하나자산신탁 ,은행/금융업,3.6,5468
520,메디컬아이피 ,IT/웹/통신,3.6,4231
521,브루커코리아 ,유통/무역/운송,3.6,4542
522,스미스앤드네퓨 ,의료/제약/복지,3.6,4763
523,여천엔씨씨 ,제조/화학,3.6,5002
524,지이에너지코리아 ,유통/무역/운송,3.6,5596
525,포항공과대학교대학원 ,교육업,3.6,2922
526,(사)제천국제음악영화제 ,미디어/디자인,3.6,2436
527,(재)네이버커넥트 ,교육업,3.6,4209
528,모코엠시스 ,IT/웹/통신,3.6,3913
529,브레이브모바일 ,IT/웹/통신,3.6,4158
